reporting_month,product_category,order_count,unique_customers,units_sold,fulfilled_order_value,net_revenue,average_order_value,cancellation_rate
2025-01,CLOUD,137,129,984,1953123.47,1758218.55,16837.27,8.76
2025-01,DATA,65,64,422,2307387.34,2287048.16,41203.35,6.15
2025-01,HARDWARE,139,130,995,3601382.33,3034767.2,32155.2,9.35
2025-01,SECURITY,114,110,812,1345695.41,1234670.69,13873.15,9.65
2025-01,SERVICES,108,102,675,1042605.89,974141.5,11584.51,10.19
2025-01,SOFTWARE,113,106,627,1101492.22,1006596.73,11473.88,8.85
2025-02,CLOUD,111,110,773,1248813.74,1066839.56,13574.06,8.11
2025-02,DATA,55,55,398,1450259.82,1374035.63,32960.45,9.09
2025-02,HARDWARE,109,99,802,3054500.23,2957344.81,31817.71,6.42
2025-02,SECURITY,135,130,965,1943832.78,1869620.89,16064.73,6.67
2025-02,SERVICES,81,77,526,965647.64,865243.38,14856.12,12.35
2025-02,SOFTWARE,110,109,736,1111966.92,1041474.95,11956.63,11.82
2025-03,CLOUD,123,114,828,1415006.36,1273377.04,13101.91,5.69
2025-03,DATA,66,64,436,2246589.75,1929834.2,40117.67,12.12
2025-03,HARDWARE,134,127,909,3200121.36,2201434.15,27827.14,10.45
2025-03,SECURITY,140,134,1029,1809733.25,1508252.71,14833.88,8.57
2025-03,SERVICES,96,94,575,1046140.17,927682.62,13076.75,7.29
2025-03,SOFTWARE,111,106,677,1273338.5,1083568.15,13263.94,9.01
2025-04,CLOUD,138,135,889,1684113.57,1581507.61,13581.56,3.62
2025-04,DATA,60,59,388,1931841.65,1682113.94,36449.84,5.0
2025-04,HARDWARE,132,129,985,3936867.4,3864763.64,33363.28,7.58
2025-04,SECURITY,149,133,938,1635525.0,1404532.94,13405.94,10.07
2025-04,SERVICES,114,111,774,1464866.69,1302967.34,14648.67,6.14
2025-04,SOFTWARE,98,91,616,918229.52,823078.85,11477.87,12.24
2025-05,CLOUD,147,139,919,1810030.48,1677319.78,13923.31,6.12
2025-05,DATA,76,72,460,1805107.66,1550300.01,27770.89,6.58
2025-05,HARDWARE,148,139,946,4505389.23,4400169.22,34392.28,7.43
2025-05,SECURITY,116,114,737,1289089.63,1171553.74,13289.58,10.34
2025-05,SERVICES,98,94,586,1055582.47,897159.01,12274.21,6.12
2025-05,SOFTWARE,100,97,745,997791.03,891196.28,11738.72,7.0
2025-06,CLOUD,123,119,829,1559843.53,1285196.55,14998.5,6.5
2025-06,DATA,67,66,386,2297438.73,2247475.39,38290.65,7.46
2025-06,HARDWARE,132,124,932,3797365.29,3331370.45,34838.21,12.12
2025-06,SECURITY,141,131,968,1524018.36,1177873.2,13486.89,14.18
2025-06,SERVICES,85,82,534,946113.18,830002.87,13325.54,8.24
2025-06,SOFTWARE,109,106,742,1182431.01,1029844.74,12714.31,7.34
2025-07,CLOUD,118,114,801,1526820.97,1391616.33,14680.97,5.08
2025-07,DATA,64,62,503,2187914.53,2076296.11,40516.94,10.94
2025-07,HARDWARE,157,151,1023,4232619.69,3691057.54,30671.16,6.37
2025-07,SECURITY,122,117,837,1602308.52,1373790.35,15708.91,9.02
2025-07,SERVICES,100,97,683,1337495.0,1214399.21,15028.03,7.0
2025-07,SOFTWARE,111,107,635,818392.01,740364.94,9195.42,15.32
2025-08,CLOUD,137,129,870,1347864.12,1185595.25,12142.92,12.41
2025-08,DATA,54,51,323,1323952.89,806191.44,30789.6,14.81
2025-08,HARDWARE,139,127,847,2948350.4,2834171.85,24166.81,7.19
2025-08,SECURITY,103,99,604,1027383.58,876901.44,12230.76,9.71
2025-08,SERVICES,113,109,835,1228590.8,790885.78,14121.73,14.16
2025-08,SOFTWARE,88,84,628,1211433.17,1172860.18,15334.6,7.95
2025-09,CLOUD,123,118,790,1372344.53,1134067.41,13862.07,10.57
2025-09,DATA,58,57,380,1547892.57,1222292.51,31589.64,6.9
2025-09,HARDWARE,131,127,882,4087883.89,3482117.02,37503.52,10.69
2025-09,SECURITY,124,121,866,1686144.67,1567354.28,16530.83,13.71
2025-09,SERVICES,94,91,633,1193031.25,1066919.62,14728.78,6.38
2025-09,SOFTWARE,93,91,640,931029.71,864260.61,12091.29,12.9
2025-10,CLOUD,134,131,831,1461355.47,1390277.1,13406.93,14.18
2025-10,DATA,69,67,413,3013772.31,2959576.04,50229.54,7.25
2025-10,HARDWARE,135,130,866,4265568.76,4064629.08,37417.27,11.11
2025-10,SECURITY,137,124,985,1447271.67,1198989.5,13400.66,9.49
2025-10,SERVICES,121,116,940,1468740.2,1238108.78,14399.41,7.44
2025-10,SOFTWARE,103,99,636,1119673.39,967859.9,11786.04,3.88
2025-11,CLOUD,138,129,805,1607352.89,1450108.04,13621.63,7.97
2025-11,DATA,83,80,549,3208793.48,2494893.2,49366.05,9.64
2025-11,HARDWARE,142,137,808,2774391.88,2610698.82,22556.03,7.75
2025-11,SECURITY,121,115,846,1653481.79,1549414.61,16701.84,12.4
2025-11,SERVICES,101,101,674,1398770.22,1258526.57,15541.89,2.97
2025-11,SOFTWARE,86,83,506,734685.05,673295.08,10203.96,15.12
2025-12,CLOUD,112,110,752,1379016.5,1189242.32,14989.31,8.04
2025-12,DATA,64,62,393,1820294.42,1444477.41,31934.99,4.69
2025-12,HARDWARE,165,155,1298,5489374.79,5249879.87,39778.08,10.91
2025-12,SECURITY,110,105,703,1340501.93,1193755.05,13963.56,7.27
2025-12,SERVICES,111,106,655,1116289.24,988456.2,12830.91,12.61
2025-12,SOFTWARE,99,93,663,931429.13,836533.85,10706.08,8.08
