reporting_month,order_count,unique_customers,units_sold,fulfilled_order_value,net_revenue,revenue_mom_growth_pct,average_order_value,cancellation_rate,ticket_volume,ticket_resolution_rate,ticket_sla_rate,average_resolution_hours,revenue_zscore,revenue_anomaly_flag
2025-01,676,518,4515,11351686.66,9559919.21,,20020.61,9.02,225,87.11,34.18,93.58,-0.37,N
2025-02,601,476,4200,9775021.13,8892310.71,-6.98,19129.2,8.82,171,87.72,50.0,78.49,-1.1,N
2025-03,670,508,4454,10990929.39,8784769.47,-1.21,19048.4,8.66,201,91.04,40.98,86.22,-1.21,N
2025-04,691,515,4590,11571443.83,10650143.92,21.23,19382.65,7.53,176,89.77,41.14,90.46,0.81,N
2025-05,685,527,4393,11462990.5,10887560.94,2.23,19297.96,7.3,205,86.34,38.98,89.15,1.07,N
2025-06,657,524,4391,11307210.1,9400550.92,-13.66,20558.56,9.74,179,89.39,41.88,90.42,-0.54,N
2025-07,672,512,4482,11705550.72,10434893.25,11.0,20322.14,8.63,243,88.89,48.15,85.64,0.58,N
2025-08,634,489,4107,9087574.96,8601271.99,-17.57,17276.76,10.73,232,88.36,39.02,87.37,-1.41,N
2025-09,623,488,4191,10818326.62,8955617.54,4.12,20925.2,10.59,212,90.09,41.36,87.5,-1.03,N
2025-10,699,543,4671,12776381.8,11273174.53,25.88,21728.54,9.3,218,84.4,48.37,87.15,1.49,N
2025-11,671,506,4188,11377475.31,10817271.03,-4.04,20066.09,9.09,194,86.6,49.4,82.47,0.99,N
2025-12,661,522,4464,12076906.01,10561878.18,-2.36,21682.06,9.08,208,89.9,47.06,84.07,0.72,N
